1|prague-czech-republic|73.16961785053|prague-czech-republic.jpg|4|5|5|5|4|Prague|Czech Republic|1|31|45|872|50|mbps
2|berlin-germany|62.816153673252|berlin-germany.jpg|3|4|4|5|5|Berlin|Germany|2|35|280|2,323|25|mbps
